Título,Autores,Resumen,Año,URL
Characterizing whole brain temporal variation of functional connectivity via zero and first order derivatives of sliding window correlations,"FA Espinoza, VM Vergara, E Damaraju","In the current context, we are improving the discrete time estimation of the dFNC at a given  time point t = n ∗ TR by adding information of the estimated derivative DdFNC at that time",2019,https://www.frontiersin.org/journals/neuroscience/articles/10.3389/fnins.2019.00634/pdf
Tensors in statistics,"X Bi, X Tang, Y Yuan, Y Zhang","This article provides an overview of tensors, their properties, and their applications in  statistics. Tensors, also known as multidimensional arrays, are generalizations of matrices to",2021,https://par.nsf.gov/servlets/purl/10300784
Edge-centric functional network representations of human cerebral cortex reveal overlapping system-level architecture,"J Faskowitz, FZ Esfahlani, Y Jo, O Sporns","Importantly, edge time series allow the estimation of edge correlation structure, a construct  we refer to as eFC. High-amplitude eFC indexes strong similarity in the co-fluctuation of two",2020,https://www.biorxiv.org/content/10.1101/799924.full.pdf
Object Weight Perception in Motor Imagery Using Fourier-Based Synchrosqueezing Transform and Regularized Common Spatial Patterns,"N Karakullukcu, F Altindış, B Yilmaz","Shannon’s entropy, fractal dimensions, topological data analysis and Hurst and Lyapunov   We developed a unique approach for the estimation of regularization parameters of CSP",2024,https://ieeexplore.ieee.org/iel7/6287639/6514899/10494841.pdf
A persistent homology-based topological loss for CNN-based multiclass segmentation of CMR,"N Byrne, JR Clough, I Valverde","In contrast, our work exploits PH, an increasingly popular tool from topological data analysis,  exposing the topological features of image data. Accordingly, topology provides both the",2022,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7614102/
Quantifying topological invariants of neuronal morphologies,"L Kanari, P Dłotko, M Scolamiero, R Levi","Topological data analysis (TDA) has been shown to reliably identify geometric objects that   A set of morphological features is extracted from the trees, and the initial estimation of the",2016,https://arxiv.org/pdf/1603.08432
Multi-Modal Validation of MR Microstructure Imaging in the Mouse Brain,TS Trinkle,tomography as a validation modality for the estimation of nerve fiber orientations with dMRI.   Author contributions This chapter was originally published in NeuroImage under the title “,2021,No disponible
Advantages of Persistent Cohomology in Estimating Animal Location From Grid Cell Population Activity,"D Kawahara, S Fujisawa",Estimation of animal location by Bayesian population decoding from simulated grid cells.  (A (C) Estimation of animal location by previous methods. Here we show the best estimation,2024,No disponible
NBR: network-based R-statistics for (unbalanced) longitudinal samples,"Z Gracia-Tabuenca, S Alcauter","Network neuroscience models the brain as interacting elements. However, a large number  of elements imply a vast number of interactions, making it difficult to assess which",2020,https://www.biorxiv.org/content/biorxiv/early/2020/11/08/2020.11.07.373019.full.pdf
Multiscale null hypothesis testing for network-valued data: Analysis of brain networks of patients with autism,"I Lovato, A Pini, A Stamm, M Taquet","Networks are a natural way of representing the human brain for studying its structure and  function and, as such, have been extensively used. In this framework, case–control studies for",2021,https://hal.science/hal-04382423/document
Modelling and interpreting network dynamics,"AN Khambhati, AE Sizemore, RF Betzel, DS Bassett",(C) Example use of topological data analysis for dynamic networks. The initial point cloud  here is the collection of brain states across time and parameter space the distance from the,2017,https://www.biorxiv.org/content/biorxiv/early/2017/04/04/124016.full.pdf
Network topology of neural systems supporting avalanche dynamics predicts stimulus propagation and recovery,"H Ju, JZ Kim, DS Bassett","A precise assessment of this relation in large neural systems is not numerically feasible,  and thus we develop further intuitions from estimation approaches. Given this topological",2018,https://www.biorxiv.org/content/biorxiv/early/2018/12/21/504761.full.pdf
Identifying HIV associated neurocognitive disorder using large-scale granger causality analysis on resting-state functional MRI,"AM DSouza, AZ Abidin, L Leistritz",We investigate the applicability of large-scale Granger Causality (lsGC) for extracting a  measure of multivariate information flow between pairs of regional brain activities from resting-,2017,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5695922/
Brain-state extraction algorithm based on the state transition (BEST): a dynamic functional brain network analysis in fMRI study,"YB Lee, K Yoo, JH Roh, WJ Moon, Y Jeong","Through these validations, we demonstrated that BEST worked well in time-point detection  and estimation of the number of brain-states. We then applied BEST to block-designed task",2019,No disponible
Electroencephalogram Functional Connectivity Analysis and Classification of Mental Arithmetic Working Memory Task,"H Gangapuram, V Manian",This paper focuses on functional-connectivity estimation and  The statistical functional-connectivity  estimation methods  approach likely leverages topological data analysis or network-,2024,https://www.mdpi.com/2624-6120/5/2/16/pdf
BrainIAK: the brain imaging analysis kit,"M Kumar, MJ Anderson, JW Antony","Functional magnetic resonance imaging (fMRI) offers a rich source of data for studying the  neural basis of cognition. Here, we describe the Brain Imaging Analysis Kit (BrainIAK), an",2022,https://pmc.ncbi.nlm.nih.gov/articles/PMC9351935/
Impaired brain ability of older adults to transit and persist to latent states with well-organized structures at wakeful rest,"Z Liu, H Xia, A Chen","The choice of the total number of states was determined by free energy, which provides an  estimation of how well the model fits the data and can be used for model selection. We set the",2024,No disponible
Self-supervised learning of neighborhood embedding for longitudinal MRI,"J Ouyang, Q Zhao, E Adeli, G Zaharchuk","ϕ denotes the estimation of concentration of each centroid. Specifically, a cluster Ω ( c ) has  a large concentration when the average distance between the centroid c and the points z 1",2022,https://www.sciencedirect.com/science/article/am/pii/S1361841522002122
Metabotropic glutamate receptor 5 imaging and metabolic connectivity in pilocarpine-induced epilepsy rat model,최홍윤,Persistent homology based network analysis Persistent homology can be used for  topological data analysis which provides insight to the shape of data(68). Asimplicial complex is,2014,https://s-space.snu.ac.kr/bitstream/10371/122402/1/000000020714.pdf
Persistent homology to analyse 3D faces and assess body weight gain,"D Giorgi, MA Pascali, P Henriquez, BJ Matuszewski",Velardo and Dugelay proposed a model for the weight estimation based on geometric body   Simplicial homology plays a central role in topological data analysis: it accounts for the,2017,https://clok.uclan.ac.uk/16869/1/16869.pdf
Epilepsy lesion localization method based on brain function network,"C Fang, X Li, M Na, W Jiang, Y He, A Wei",converts the original point cloud data into a topological structure in order to obtain the  topological features of the point cloud data in the topological space for topological data analysis.,2024,https://www.frontiersin.org/journals/human-neuroscience/articles/10.3389/fnhum.2024.1431153/pdf
Network comparisons and their applications in connectomics,"NS D'Souza, A Venkataraman","To directly address this, a suite of geometric approaches, such as manifold learning models,  graph kernel, and topological data analysis frameworks, have been developed and tested",2023,No disponible
Second-generation functional data,"S Koner, AM Staicu","Modern studies from a variety of fields record multiple functional observations according to  either multivariate, longitudinal, spatial, or time series designs. We refer to such data as",2023,https://www.annualreviews.org/content/journals/10.1146/annurev-statistics-032921-033726?crawler=true&mimetype=application/pdf
Short-time Fourier transform and embedding method for recurrence quantification analysis of EEG time series,"Ł Furman, W Duch, L Minati, K Tołpa",", stabilizing the process of similarity estimation and facilitating meaningful interpretation.  While STFT  Features generated from the topological data analysis should also be tested [39].",2023,https://link.springer.com/content/pdf/10.1140/epjs/s11734-022-00683-7.pdf
Utilization of brain connectivity in classification and regression tasks in brain data,J Řežábková,This thesis investigates how incorporating progressive amounts of struc- tural information  into machine learning models affects their accuracy in dis- criminating schizophrenia from,2022,https://dspace.cuni.cz/bitstream/handle/20.500.11956/173962/120418827.pdf?sequence=1
An ICA based approach for steady-state and transient analysis of task fMRI data: application to study of thermal pain response,"X Song, S Bhinge, RL Quiton, T Adalı",Background Data driven analysis methods such as independent component analysis (ICA)  offer the advantage of estimating subject contributions when used in a second-level analysis.,2019,https://drive.google.com/file/d/1ZJbTg3BEuvId49FA7bzjqBgZVf5RSFpW/view
Facilitating open-science with realistic fMRI simulation: validation and application,"CT Ellis, C Baldassano, AC Schapiro, MB Cai","With advances in methods for collecting and analyzing fMRI data, there is a concurrent need  to understand how to reliably evaluate and optimally use these methods. Simulations of",2020,https://peerj.com/articles/8564.pdf
The neural correlates of shared and individual experience,"P Coppola, AM Owen, D Menon, L Naci, EA Stamatakis","Contemporary neuroscience research typically focuses on shared contents of experience and  common neural states. Conversely, we set out to explore the neural correlates of individual",2024,https://www.biorxiv.org/content/10.1101/2024.10.20.619030.full.pdf
"Graph Signal Processing: History, development, impact, and outlook","G Leus, AG Marques, JMF Moura",leveraged to successfully generalize a number of estimation and learning tasks to the graph   to adjacent fields such as topological data analysis and computational geometry. Many,2023,https://arxiv.org/pdf/2303.12211
Data-Based and Theory-Based Network Models of Perturbations to Neural Dynamics,J Stiso,"Much of neuroscience is centered on uncovering simple principles that constrain the behavior  of the brain. When considering the formation of neural architectures, similar structures can",2021,No disponible
The Network Science Of Distributed Representational Systems,H Ju,"From brains to science itself, distributed representational systems store and process  information about the world. In brains, complex cognitive functions emerge from the collective",2022,https://repository.upenn.edu/bitstreams/e9e798dc-1837-40f2-a8ce-b4e4ed3912ae/download
Hypernetwork construction and feature fusion analysis based on sparse group lasso method on fmri dataset,"Y Li, C Sun, P Li, Y Zhao, GK Mensah, Y Xu","In conclusion, from the perspectives of edge distribution, topological data analysis, and  significant difference regions, the article proved that the three networks are different and the",2020,https://www.frontiersin.org/articles/10.3389/fnins.2020.00060/pdf
Detection of Low Resilience using Data-driven Effective Connectivity Measures,"A Siddiqui, RA Hasan, SSA Ali","Sakkalis, “Review of advanced techniques for the estimation of brain connectivity measured   and pitfalls of topological data analysis for brain connectivity analysis,” NeuroImage, vol. 238",2024,https://ieeexplore.ieee.org/iel8/7333/4359219/10684775.pdf
TopoSemiSeg: Enforcing Topological Consistency for Semi-Supervised Segmentation of Histopathology Images,"M Xu, X Hu, S Gupta, S Abousamra, C Chen","Topology-aware segmentation methods, particularly those employing persistent homology  and other topological data analysis (TDA) tools, have been introduced to address these",2023,https://arxiv.org/pdf/2311.16447
Spatiotemporal dynamics of EEG microstates in four-to eight-year-old children: Age-and sex-related effects,"A Bagdasarov, K Roberts, L Bréchet, D Brunet",represent the 95 % confidence interval of the paired mean difference estimates; numerical  values are presented as the paired mean difference value [95 % confidence interval]. M1 =,2022,https://www.sciencedirect.com/science/article/pii/S1878929322000779
Improved data quality and statistical power of trial-level event-related potentials with Bayesian random-shift Gaussian processes,"D Pluta, B Hadj-Amar, M Li, Y Zhao, F Versace","estimation of trial-specific amplitudes by 14 . This initial work on trial-specific latency and  amplitude estimation  in dVCA, and which allows for estimation of latency on a continuous scale,",2024,https://www.nature.com/articles/s41598-024-59579-2.pdf
Interdisciplinary Approaches to Automated Obstructive Sleep Apnea Diagnosis Through High-Dimensional Multiple Scaled Data Analysis,"G Heo, K Leonard, X Wang, Y Zhou","to PSG multiple time series in estimation of blood pressure [40] or  In fact, most articles studying  OSA focus on the estimation or  It is the same in topological data analysis. What degree of",2019,No disponible
Large-scale neural dynamics in a shared low-dimensional state space reflect cognitive and attentional dynamics,"H Song, WM Shim, MD Rosenberg",Cognition and attention arise from the adaptive coordination of neural systems in response  to external and internal demands. The low-dimensional latent subspace that underlies large-,2023,https://elifesciences.org/articles/85487.pdf
Can fMRI functional connectivity index dynamic neural communication?,"SA Martínez, A Llera, G Horst, D Vidaurre",initializations with principal component analysis (PCA) to extract the latent temporal structure  across HMM runs (thereby accounting for the variability regarding model estimation and the,2021,https://www.biorxiv.org/content/biorxiv/early/2022/06/21/2021.07.27.453965.full.pdf
Spatio-Temporal Connectome Data Analysis Using Machine Learning and Visualization,R Xu,"Analysis and comparison of multiple time-varying connectomes is crucial for  studying brain diseases such as Depression and Alzheimer’s Disease. Recently, many",2022,https://escholarship.org/content/qt5qv9r5g7/qt5qv9r5g7.pdf
Resting-state brain connectivity via multivariate EMD in mild cognitive impairment,"H Wu, L Kong, Y Zeng, H Bao",": From link-wise unreliability to whole brain stability,” NeuroImage, vol. 157,pp. 250–262,  Aug.  dynamics estimation in resting-state fMRI,” NeuroImage, vol. 129, pp. 292–307, Apr.",2021,No disponible
High-order functional redundancy in ageing explained via alterations in the connectome in a whole-brain model,"M Gatica, F E. Rosas, P AM Mediano","The human brain generates a rich repertoire of spatio-temporal activity patterns, which support  a wide variety of motor and cognitive functions. These patterns of activity change with age",2022,https://journals.plos.org/ploscompbiol/article/file?id=10.1371/journal.pcbi.1010431&type=printable
Spontaneous brain network activity: Analysis of its temporal complexity,"M Pedersen, A Omidvarnia, JM Walz, A Zalesky","The brain operates in a complex way. The temporal complexity underlying macroscopic and  spontaneous brain network activity is still to be understood. In this study, we explored the",2017,https://direct.mit.edu/netn/article-pdf/1/2/100/1091910/netn_a_00006.pdf
Network Spreading Dynamics in Cognition and Neurodegeneration,E Cornblath,"The macroscale network structure of the brain is fundamental to the pathophysiology and  treatment of several neuropsychiatric diseases, including epilepsy, neurodegenerative disease",2020,No disponible
Nonparametric analysis of non-Euclidean data on shapes and images,"R Bhattacharya, R Oliver","Apart from this main theme and its applications, a nonparametric Bayes theory on  Riemannian manifolds is outlined for the purpose of density estimation and classification. A final",2019,No disponible
Modeling global brain dynamics in brain tumor patients using The Virtual Brain,"H Aerts, D Marinazzo","[1], inspired by Topological Data Analysis, to quantitatively analyze  estimation of the stimuli.  We find that firing rate heterogeneity is a signature of optimal (Bayesian) stimulus estimation",2017,https://biblio.ugent.be/publication/8612100/file/8612101
Detection and skeletonization of single neurons and tracer injections using topological methods,"D Wang, L Magee, BX Huo, S Banerjee, X Li","Topological Data Analysis and Discrete Morse Theory: Within the last decade or so, topological  data analysis (TDA) has grown in influence. Several new TDA methodologies have been",2020,https://arxiv.org/pdf/2004.02755
Machine Learning for Epilepsy: A Comprehensive Exploration of Novel EEG and MRI Techniques for Seizure Diagnosis,"N Rehab, Y Siwar, Z Mourad",Purpose This work focuses on automated epileptic seizure diagnosis (ESD) and prediction (ESP)  to clarify the expanding role of machine learning (ML) in epileptic analysis. It outlines,2024,https://www.researchgate.net/profile/Rehab-Naily/publication/381590786_Machine_Learning_for_Epilepsy_A_Comprehensive_Exploration_of_Novel_EEG_and_MRI_Techniques_for_Seizure_Diagnosis/links/667c63722aa57f3b824f01d5/Machine-Learning-for-Epilepsy-A-Comprehensive-Exploration-of-Novel-EEG-and-MRI-Techniques-for-Seizure-Diagnosis.pdf
The Euler characteristic: A general topological descriptor for complex data,"A Smith, VM Zavala","Datasets are mathematical objects (eg, point clouds, matrices, graphs, images, fields/functions)  that have shape. This shape encodes important knowledge about the system under study",2021,https://www.sciencedirect.com/science/article/am/pii/S0098135421002416
A tutorial on graph theory for brain signal analysis,"N Laskaris, DA Adamos, A Bezerianos","The estimation of the shortest path lengths lij is an integral  connectivity, Neuroimage. 200  38–50 (2019), DOI 10.1016/j. of the brain using topological data analysis, Nat. Commun. 9 (1) (",2020,https://arxiv.org/pdf/2007.05800
High-order functional interactions in ageing explained via alterations in the connectome in a whole-brain model,"M Gatica, FE Rosas, PAM Mediano, I Diez, SP Swinnen","The human brain generates a rich repertoire of spatio-temporal activity patterns, which support  a wide variety of motor and cognitive functions. These patterns of activity change with age",2021,https://www.biorxiv.org/content/10.1101/2021.09.15.460435.full.pdf
Interpretable Fusion Analytics Framework for fMRI Connectivity: Self-Attention Mechanism and Latent Space Item-Response Model,"JJ Kim, Y Jeon, SM Yu, J Choi, S Han","There have been several attempts to use deep learning based on brain fMRI signals to classify  cognitive impairment diseases. However, deep learning is a hidden black box model that",2022,https://arxiv.org/pdf/2207.01581
Mri-based diagnostics of depression concomitant with epilepsy: in search of the potential biomarkers,"M Sharaev, A Artemov, E Kondrateva","In the present work, we study the candidate biomarkers for the depression disorder and the  depression + epilepsy comorbidity. Building on the advanced data analysis pipeline, we",2018,No disponible
Visualizing the effects of a changing distance on data using continuous embeddings,"G Gruenhage, M Opper, S Barthelme",Topological data analysis seeks to address this issue by focusing on the notion of neighborhood  instead of distance. It is shown that in some cases a simpler solution is available. It can,2016,https://arxiv.org/pdf/1311.1911
Allocentric representation in the human amygdala and ventral visual stream,"HR Evensmoen, LM Rimol, AM Winkler, R Betzel","The hippocampus and the entorhinal cortex are considered the main brain structures for  allocentric representation of the external environment. Here, we show that the amygdala and",2021,https://www.cell.com/cell-reports/pdfExtended/S2211-1247(20)31647-8
Temporal sequences of brain activity at rest are constrained by white matter structure and modulated by cognitive demands,"EJ Cornblath, A Ashourvan, JZ Kim, RF Betzel","A diverse set of white matter connections supports seamless transitions between cognitive  states. However, it remains unclear how these connections guide the temporal progression of",2020,https://www.nature.com/articles/s42003-020-0961-x.pdf
D1. 1 Elementary coarse-grained features of datasets WP1: Topology of Data,"G Petri, F Vaccarino, M Rasetti","However, despite the promising results of topological data analysis, only separate software   de Silva V, Carlsson G (2004) Topological estimation using witness complexes. Symp Point-",2013,https://computerscience.unicam.it/merelli/topdrim/deliverables/D1.1full-TOPDRIM.pdf
Network neuroscience,"DS Bassett, O Sporns","Despite substantial recent progress, our understanding of the principles and mechanisms  underlying complex brain function and cognition remains incomplete. Network neuroscience",2017,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5485642/
A NEST simulated cerebellar spiking neural network driving motor learning,"A Antonietti, C Casellato, C Erö, E D'Angelo","[1], inspired by Topological Data Analysis, to quantitatively analyze  estimation of the stimuli.  We find that firing rate heterogeneity is a signature of optimal (Bayesian) stimulus estimation",2017,https://re.public.polimi.it/bitstream/11311/1031532/1/Newton_et_al-2017-BMC_Neuroscience.pdf
Framewise multi-echo distortion correction for superior functional MRI,"AN Van, DF Montez, TO Laumann, V Suljic, T Madison","To reduce the influence of voxels with low signal on the field map estimation, we weight by  the squared magnitude of the signal at each echo time. Solving for Equation 2 then becomes",2023,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10705259/
Stochastic Geomodelling and Analysis of Karst Morphology,R Kanfar,The growth of our global population and economy presents a challenge for mitigating climate  change and creates an urgent demand for sustainable management of essential resources,2023,No disponible
Applications of interpretable deep learning in neuroimaging: a comprehensive review,"L Munroe, M da Silva, F Heidari, I Grigorescu","Clinical adoption of deep learning models has been hindered, in part, because the “black-box”  nature of neural networks leads to concerns regarding their trustworthiness and reliability.",2024,https://direct.mit.edu/imag/article-pdf/doi/10.1162/imag_a_00214/2460935/imag_a_00214.pdf
fMRI: Blood Oxygen Level-Dependent Contrast and Its Value for Understanding Functional Brain Networks,PA Bandettini,"Within the context of understanding brain network dysfunction, functional MRI has become  an increasingly important tool as it provides noninvasive, high-resolution, and high-speed",2021,No disponible
Advances of high-order interactions in the human brain: applications in aging and neurodegeneration,MG Briceño,We use Gaussian Copula Estimation to compute the O-information and S-information  values. This approach exploits the fact that the Mutual Information does not depend on the,2022,https://www.researchgate.net/profile/Marilyn-Gatica-Briceno/publication/370527898_Advances_of_high-order_interactions_in_the_human_brain_Applications_in_aging_and_neurodegeneration/links/6454d46a4af78873525d43ad/Advances-of-high-order-interactions-in-the-human-brain-Applications-in-aging-and-neurodegeneration.pdf
Basis-function models in spatial statistics,"N Cressie, M Sainsbury-Dale","Indeed, a basis-function representation for W(·) is particularly attractive in this setting, since  its dimension reduction facilitates estimation and prediction for non-Gaussian processes,",2022,https://www.annualreviews.org/doi/pdf/10.1146/annurev-statistics-040120-020733
A voxel-level approach to brain age prediction: A method to assess regional brain aging,"N Gianchandani, M Dibaji, J Ospel, F Vega","Brain aging is a regional phenomenon, a facet that remains relatively under-explored within  the realm of brain age prediction research using machine learning methods. Voxel-level",2023,https://arxiv.org/pdf/2310.11385
Task-based assessment for neural networks: evaluating undersampled MRI reconstructions based on human observer signal detection,"JD Herman, RE Roca, AG O'Neill","Her research interests include task-based assessment of neural networks in medical  imaging, voting theory, topological data analysis applications in education and social justice.",2024,https://arxiv.org/pdf/2210.12161
Functional network collapse in neurodegenerative disease,"JA Brown, AJ Lee, K Fernhoff, T Pistone, L Pasquini","Cognitive and behavioral deficits in Alzheimer’s disease (AD) and frontotemporal dementia (FTD)  result from brain atrophy and altered functional connectivity. However, it is unclear",2023,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10723363/
Cuts: A fully unsupervised framework for medical image segmentation,"C Liu, M Amodio, LL Shen, F Gao, A Avesta","In this work we introduce CUTS (Contrastive and Unsupervised Training for Segmentation),  a fully unsupervised deep learning framework for medical image segmentation to better",2022,https://arxiv.org/pdf/2209.11359
Segmentation of joint and musculoskeletal tissue in the study of arthritis,"V Pedoia, S Majumdar, TM Link","In the last decade, magnetic resonance image (MRI)-based  on the over or under estimation  trends of the segmentation.  data”, such as topological data analysis or deep learning latent",2016,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7181410/
Classification on large networks: A quantitative bound via motifs and graphons,"A Haupt, T Schultz, M Khatami, N Tran","Thus, inference in our setting is not a mere “large sample” version of the graphon estimation   definitions have appeared in stability analysis of features for topological data analysis [11].",2020,https://arxiv.org/pdf/1710.08878
Revealing neural correlates of behavior without behavioral measurements,"A Rubin, L Sheintuch, N Brande-Eilat","Estimations of internal structure, such as estimation of the intrinsic dimension and topological  data analysis, can reveal the properties of the set of stimuli that were experienced by the",2019,https://www.nature.com/articles/s41467-019-12724-2.pdf
Brain age prediction using combined deep convolutional neural network and multi-layer perceptron algorithms,"Y Joo, E Namgung, H Jeong, I Kang, J Kim, S Oh","The clinical applications of brain age prediction have expanded, particularly in anticipating  the onset and prognosis of various neurodegenerative diseases. In the current study, we",2023,https://www.nature.com/articles/s41598-023-49514-2.pdf
Atrophy-driven functional network collapse in neurodegenerative disease,"JA Brown, AJ Lee, K Fernhoff, T Pistone, L Pasquini","Shaded bands show ± 2 x standard errors of the fit (95% confidence interval). BNT: Boston   of the brain using topological data analysis. Nature Communications 9, 1399 (2018). 29.",2023,https://www.biorxiv.org/content/biorxiv/early/2023/12/06/2023.12.01.569654.full.pdf
"Two's company, three (or more) is a simplex: Algebraic-topological tools for understanding higher-order structure in neural data","C Giusti, R Ghrist, DS Bassett","The language of graph theory, or network science, has proven to be an exceptional tool for  addressing myriad problems in neuroscience. Yet, the use of networks is predicated on a",2016,https://link.springer.com/content/pdf/10.1007/s10827-016-0608-6.pdf
Surface-based shared and distinct resting functional connectivity in attention-deficit hyperactivity disorder and autism spectrum disorder,"M Jung, Y Tu, J Park, K Jorgenson, C Lang",If a classifier trained on real class labels had an accuracy exceeding the 95% confidence  interval generated from the accuracies of the classifiers trained on randomly relabelled class,2019,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/09C7C893C108E8888996E1693BC31D5A/S0007125018002489a.pdf/surface-based-shared-and-distinct-resting-functional-connectivity-in-attention-deficit-hyperactivity-disorder-and-autism-spectrum-disorder.pdf
Is object saliency perceived different cross‑culturally: a computational modelling study,"E Mavritsaki, P Rentzelas","[1], inspired by Topological Data Analysis, to quantitatively analyze  estimation of the stimuli.  We find that firing rate heterogeneity is a signature of optimal (Bayesian) stimulus estimation",2017,https://www.open-access.bcu.ac.uk/6014/1/26th%20Annual%20Computational%20Neuroscience%20Meeting%20Part%203.pdf
Graph Theory for Brain Signal Processing,"N Laskaris, D Adamos, A Bezerianos",The estimation of the shortest path lengths lij is an integral part of important graph metrics   to reveal dynamical organization of the brain using topological data analysis. Nat. Commun.,2021,No disponible
Network structure of cascading neural systems predicts stimulus propagation and recovery,"H Ju, JZ Kim, JM Beggs","average of eigenvalues provide a more descriptive estimation of activity propagation. Thus,   We used maximum likelihood estimation to estimate the power law with exponential cutoff $",2020,https://iopscience.iop.org/article/10.1088/1741-2552/abbff1/pdf
Metrics for graph comparison: a practitioner's guide,"P Wills, FG Meyer","The computational complexity of the estimation of the Wasserstein distance remains prohibitively  high for large graph: the cost is mn 2 + m 2 n, where m is the number of edges, and n is",2020,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0228728&type=printable
A hypothesis testing for large weighted networks with applications to functional neuroimaging data,"L Chen, L Lin, J Zhou","learning methods for neuroimaging data,” NeuroImage, vol. 199, pp. 351–365, 2019.  Lin,  “Change-point detection in dynamic networks via graphon estimation,” arXiv:1908.01823, 2019",2020,https://ieeexplore.ieee.org/iel7/6287639/6514899/09233364.pdf
Distinct frontoparietal brain dynamics underlying the co-occurrence of autism and ADHD,"D Watanabe, T Watanabe",energy landscape analysis adopting a smaller ROI definition: the energy landscape  analysis with N nodes requires data with 2 N –1 timepoints for sufficiently accurate estimation;,2023,https://www.eneuro.org/content/eneuro/10/7/ENEURO.0146-23.2023.full.pdf
"Beyond euclid: An illustrated guide to modern machine learning with geometric, topological, and algebraic structures","S Sanborn, J Mathe, M Papillon, D Buracas","This class includes topological data analysis, certain manifold learning approaches that  learn parameters of a latent manifold, such as in metric learning, and algebraic methods for",2024,https://arxiv.org/pdf/2407.09468?
Dynamical interactions reconfigure the gradient of cortical timescales,"P Sorrentino, G Rabuffo, F Baselice","The functional organization of the brain is usually presented with a back-to-front gradient of  timescales, reflecting regional specialization with sensory areas (back) processing",2023,https://direct.mit.edu/netn/article-pdf/7/1/73/2072045/netn_a_00270.pdf
Anatomically constrained squeeze-and-excitation graph attention network for cortical surface parcellation,"X Li, J Tan, P Wang, H Liu, Z Li, W Wang","In the future, we will consider using a unified perceptual loss function and adopting the  persistent homology (PH) method of topological data analysis to evaluate the stability of all",2022,No disponible
Differential effects of sevoflurane and desflurane on frontal intraoperative electroencephalogram dynamics associated with postoperative delirium,"YS Kim, J Kim, S Park, KN Kim, Y Ha, S Yi","We computed the 99.5% confidence interval of the median difference at each frequency to   We repeated this process 10,000 times to calculate the 99.5% confidence interval using the",2024,No disponible
Imaging the temporal dynamics of brain states with highly sampled fMRI,"Z Yang, LD Lewis","small and caution is still needed in interpreting dynamic signals [51], but even when holding  window length constant the increased sampling can enable more accurate estimation of",2021,https://www.sciencedirect.com/science/article/pii/S2352154621000279
Attractor-like dynamics extracted from human electrocorticographic recordings underlie computational principles of auditory bistable perception,"P Melland, R Curtu","In bistable perception, observers experience alternations between two interpretations of an  unchanging stimulus. Neurophysiological studies of bistable perception typically partition",2023,https://www.jneurosci.org/content/43/18/3294?utm_source=TrendMD&utm_medium=cpc&utm_campaign=JNeurosci_TrendMD_0
Streamlining neuroradiology workflow with AI for improved cerebrovascular structure monitoring,"S Banerjee, F Nysjö, D Toumpanakis, AK Dhara",The Junior raters are experienced in neuroimage segmentation and were only permitted to   The plot given in 7d can be considered as the best possible estimation of the performance,2024,https://www.nature.com/articles/s41598-024-59529-y.pdf
Representational learning of brain responses in executive function and higher-order cognition using deep graph convolutions,"Y Zhang, N Farrugia, A Dagher, P Bellec",Brain decoding aims to infer human cognition from recordings of neural activity using  modern neuroimaging techniques. Studies so far often concentrated on a limited number of,2021,https://www.biorxiv.org/content/10.1101/2021.07.26.453914.full.pdf
Information–Theoretic Analysis of Visibility Graph Properties of Extremes in Time Series Generated by a Nonlinear Langevin Equation.,"L Telesca, Z Czechowski","Topological time series analysis (or, more generally, topological data analysis) is a modern   a measure of the precision of parameter estimation, as the extent of information retrievable",2024,No disponible
Predicting the Age of the Brain with Minimally Processed T1-weighted MRI Data,"C Dartora, A Marseglia, G Mårtensson, G Rukh, J Dang","hypothesis and the impact of different cultural backgrounds on the estimation of brain age.   in Medical Image Computing, and Topological Data Analysis and Its Applications for Medical",2022,https://www.medrxiv.org/content/medrxiv/early/2022/09/09/2022.09.06.22279594.full.pdf
Mixture model framework for traumatic brain injury prognosis using heterogeneous clinical and outcome data,"AD Kaplan, Q Cheng, KA Mohan",Topological Data Analysis was used to stratify patients based on a total of 17 selected   Estimation Using EM In this section we describe the estimation of model parameters defined by,2021,https://ieeexplore.ieee.org/ielaam/6221020/9729643/9496274-aam.pdf
Multi-discriminator active adversarial network for multi-center brain disease diagnosis,"Q Zhu, Q Yang, M Wang, X Xu, Y Lu","Multi-center analysis has attracted increasing attention in brain disease diagnosis, because  it provides effective approaches to improve disease diagnostic performance by making use",2023,No disponible
Ai-based solution for improving neuroradiology workflow for cerebrovascular structure monitoring,"S Banerjee, F Nysjö, D Toumpanakis",The Junior raters are experienced in neuroimage segmentation and were only permitted to   The plot given in 6(d) can be considered as the best possible estimation of the performance,2023,https://scholar.archive.org/work/n2mjeaylnbdo7hxahjverf7lqm/access/wayback/https://assets.researchsquare.com/files/rs-2372267/v1/8d100265ebb0c18e6f9ae80c.pdf?c=1672824096
